Date,Mileage,Maintenance/ Comment,Cost,Bike,DateSec
2014-05-14,18.4,,,fuji,1400025600
2014-05-17,10.4,,,fuji,1400284800
2014-05-19,18.4,,,fuji,1400457600
2014-05-21,13.0,,,fuji,1400630400
2014-05-24,,Arrived in Madison ,200.0,trek,1400889600
2014-05-27,5.0,Put armadillo tires on (from black Schwinn),,fuji,1401148800
2014-05-28,21.0,,,fuji,1401235200
2014-05-29,10.0,,,trek,1401321600
2014-05-31,,Anna rode 55 miles,,trek,1401494400
2014-05-31,55.0,,,fuji,1401494400
2014-06-02,21.0,,,fuji,1401667200
2014-06-03,5.0,,,fuji,1401753600
2014-06-04,30.0,,,fuji,1401840000
2014-06-05,5.0,,,fuji,1401926400
2014-06-06,20.0,,,fuji,1402012800
2014-06-07,6.4,,,trek,1402099200
2014-06-11,19.5,,,fuji,1402444800
2014-06-13,30.0,,,trek,1402617600
2014-06-15,10.0,,,fuji,1402790400
2014-06-16,18.4,,,trek,1402876800
2014-06-18,18.4,,,fuji,1403049600
2014-06-23,22.0,,,fuji,1403481600
2014-06-23,27.4,,,trek,1403481600
2014-06-24,20.0,,,fuji,1403568000
2014-06-25,18.4,,,fuji,1403654400
2014-06-26,13.0,,,fuji,1403740800
2014-06-27,10.0,,,fuji,1403827200
2014-06-28,5.0,,,fuji,1403913600
2014-06-29,1.0,Put on rack and fenders,8.0,fuji,1404000000
2014-07-01,10.0,,,fuji,1404172800
2014-07-02,5.2,,,fuji,1404259200
2014-07-02,,New tires,40.0,trek,1404259200
2014-07-03,15.0,,,fuji,1404345600
2014-07-04,2.5,,,fuji,1404432000
2014-07-05,2.5,,,fuji,1404518400
2014-07-06,34.0,,,fuji,1404604800
2014-07-08,35.0,Paoli ~2hrs,,trek,1404777600
2014-07-09,6.4,"Cleaned, regreased BB",,fuji,1404864000
2014-07-10,5.0,,,fuji,1404950400
2014-07-11,30.8,to crystal lake (and DNR),,fuji,1405036800
2014-07-12,40.0,Baxter's hollow and back (approx dist),,fuji,1405123200
2014-07-13,31.0,From crystal lake (and union),,fuji,1405209600
2014-07-16,35.0,Bike seat,5.0,trek,1405468800
2014-07-17,10.0,,,fuji,1405555200
2014-07-19,35.0,,,trek,1405728000
2014-07-20,8.0,,,fuji,1405814400
2014-08-05,21.5,,,trek,1407196800
2014-08-07,10.0,,,fuji,1407369600
2014-08-08,41.0,,,fuji,1407456000
2014-08-10,4.1,,,fuji,1407628800
2014-08-14,8.0,,,fuji,1407974400
2014-08-15,34.0,,,trek,1408060800
2014-08-15,6.0,,,fuji,1408060800
2014-08-16,8.0,,,fuji,1408147200
2014-08-17,20.0,,,fuji,1408233600
2014-08-19,33.0,,,trek,1408406400
2014-08-20,24.0,,,fuji,1408492800
2014-08-21,5.0,,,fuji,1408579200
2014-08-24,42.0,,,trek,1408838400
2014-08-26,13.0,,,fuji,1409011200
2014-08-27,42.0,,,trek,1409097600
2014-08-30,9.0,,,fuji,1409356800
2014-08-31,32.0,,,trek,1409443200
2014-09-03,24.0,,,fuji,1409702400
2014-09-05,6.0,,,fuji,1409875200
2014-09-07,32.0,,,trek,1410048000
2014-09-09,20.0,,,trek,1410220800
2014-09-12,3.0,,,fuji,1410480000
2014-09-14,32.0,,,trek,1410652800
2014-09-16,6.0,,,fuji,1410825600
2014-09-18,20.0,,,trek,1410998400
2014-09-22,20.0,,,trek,1411344000
2014-09-30,3.0,,,fuji,1412035200
2014-10-01,20.0,,,fuji,1412121600
2014-10-11,34.0,,,trek,1412985600
2014-10-12,35.0,,,fuji,1413072000
2014-10-13,23.0,,,fuji,1413158400
2014-10-17,5.8,,,fuji,1413504000
2014-10-20,10.6,,,fuji,1413763200
2014-10-21,12.4,,,fuji,1413849600
2014-10-22,6.5,,,fuji,1413936000
2014-10-27,22.5,,,fuji,1414368000
2014-11-02,16.0,,,fuji,1414886400
2014-11-08,43.5,,,fuji,1415404800
