Date	Mileage	Maintenance/ Comment	Cost
26.3.2016	1.5	Bought bike	30
27.3.2016	3	Flat tire	5
31.3.2016	2		
1.4.2016	8		
4.4.2016	2		
5.4.2016	2		
6.4.2016	4		
7.4.2016	5		
8.4.2016	2		
11.4.2016	2		
12.4.2016	2		
13.4.2016	3		
14.4.2016	2		
15.4.2016	2		
17.4.2016	2		
18.4.2016	2		
19.4.2016	1		
20.4.2016	1		
21.4.2016	4		
22.4.2016	2		
25.4.2016	2		
26.4.2016	2		
27.4.2016	2		
28.4.2016	2		
29.4.2016	3		
2.5.2016	2		
3.5.2016	2		
4.5.2016	2		
5.5.2016	2		
6.5.2016	5		
11.5.2016	2		
12.5.2016	2		
16.5.2016	2		
17.5.2016	2		
18.5.2016	7		
19.5.2016	2		
20.5.2016	2		
23.5.2016	2		
24.5.2016	2		
25.5.2016	2		
26.5.2016	2		
27.5.2016	2		
30.5.2016	2		
1.6.2016	2		
3.6.2016	2		
7.6.2016	2		
8.6.2016	8		
9.6.2016	2		
10.6.2016	2		
24.9.2016	11
28.9.2016	2		
29.9.2016	2		
1.10.2016	6		
8.10.2016	6		
15.10.2016	2		
10.6.2017	1.8
11.6.2017	3		
4.9.2017	4.5		
10.9.2017	2		
16.10.2017	2		
