Date	Mileage	Maintenance/ Comment	Cost
14.5.2014	18.4		
17.5.2014	10.4		
19.5.2014	18.4		
21.5.2014	13		
27.5.2014	5	Put armadillo tires on (from black Schwinn)	
28.5.2014	21		
31.5.2014	55		
2.6.2014	21		
3.6.2014	5		
4.6.2014	30		
5.6.2014	5		
6.6.2014	20		
11.6.2014	19.5		
15.6.2014	10		
18.6.2014	18.4		
23.6.2014	22		
24.6.2014	20		
25.6.2014	18.4		
26.6.2014	13		
27.6.2014	10		
28.6.2014	5		
29.6.2014	1	Put on rack and fenders	8
1.7.2014	10		
2.7.2014	5.2		
3.7.2014	15		
4.7.2014	2.5		
5.7.2014	2.5		
6.7.2014	34		
9.7.2014	6.4	Cleaned, regreased BB	
10.7.2014	5		
11.7.2014	30.8	to crystal lake (and DNR)	
12.7.2014	40	Baxter's hollow and back (approx dist)	
13.7.2014	31	From crystal lake (and union)	
17.7.2014	10		
20.7.2014	8		
7.8.2014	10		
8.8.2014	41		
10.8.2014	4.1		
14.8.2014	8		
15.8.2014	6		
16.8.2014	8		
17.8.2014	20		
20.8.2014	24		
21.8.2014	5		
26.8.2014	13		
30.8.2014	9		
3.9.2014	24		
5.9.2014	6		
12.9.2014	3		
16.9.2014	6		
30.9.2014	3		
1.10.2014	20		
12.10.2014	35		
13.10.2014	23		
17.10.2014	5.8		
20.10.2014	10.6		
21.10.2014	12.4		
22.10.2014	6.5		
27.10.2014	22.5		
2.11.2014	16		
8.11.2014	43.5		
11.3.2015	25		
12.3.2015	9		
14.3.2015	31.75		
15.3.2015	4.3		
16.3.2015	2.4		
18.3.2015	3		
21.3.2015	32		
22.3.2015	9		
25.3.2015	8.8		
31.3.2015	3.6		
1.4.2015	6		
2.4.2015	20		
4.4.2015	9.8		
8.4.2015	4.75		
11.4.2015	3		
2.5.2015	5	New drive train: - new chain rings; - new chain; - new free wheel; - new front and rear derailleurs; - new brake levers; - new bb (now cartridge)	110
3.5.2015	10		
9.5.2015	4		
21.5.2015	4		
22.5.2015	2		
26.5.2015	2		
28.5.2015	2		
7.6.2015	7		
9.6.2015	2		
12.6.2015	6		
13.6.2015	60		
17.6.2015	8		
18.6.2015	8		
30.6.2015	11		
3.7.2015	2		
15.7.2015	6		
16.7.2015	5		
22.7.2015	12		
24.7.2015	10		
29.7.2015	5		
30.7.2015	11		
22.8.2015	21		
27.8.2015	13		
9.9.2015	13		
15.9.2015	2		
16.9.2015	12	Ran into another bike, buckled frame	
17.9.2015	10.5		
23.9.2015	6		
30.9.2015	8		
7.10.2015	6		
8.10.2015	9		
14.10.2015	6		
31.10.2015	6		
4.11.2015	8		
5.11.2015	5.5		
11.11.2015	6		
12.11.2015	6		
14.11.2015	3		
20.2.2016	18		
27.2.2016	7		
28.2.2016	20		
4.3.2016	5		
6.3.2016	16		
12.3.2016	20		
14.3.2016	20		
