Date	Mileage	Maintenance/ Comment	Cost
24.5.2014		Arrived in Madison 	200
29.5.2014	10		
31.5.2014		Anna rode 55 miles	
7.6.2014	6.4		
13.6.2014	30		
16.6.2014	18.4		
23.6.2014	27.4		
2.7.2014		New tires	40
8.7.2014	35	Paoli ~2hrs	
16.7.2014	35	Bike seat	5
19.7.2014	35		
5.8.2014	21.5		
15.8.2014	34		
19.8.2014	33		
24.8.2014	42		
27.8.2014	42		
31.8.2014	32		
7.9.2014	32		
9.9.2014	20		
14.9.2014	32		
18.9.2014	20		
22.9.2014	20		
11.10.2014	34		
5.4.2015	32.5		
14.4.2015	20		
17.4.2015	31		
23.4.2015	11.3		
24.4.2015	6.5		
27.4.2015	20		
29.4.2015	29		
1.5.2015	4.25		
6.5.2015	30		
9.5.2015	46		
13.5.2015	8.5		
15.5.2015	32.5		
19.5.2015	36.25		
21.5.2015	21		
25.5.2015	33		
28.5.2015	32.5		
31.5.2015	32.5	new tube 	5
2.6.2015	32.5		
6.6.2015	61		
10.6.2015	20		
17.6.2015	20		
21.6.2015	41	new handle bars & stem (cost for stem)	16
23.6.2015	20	Cap city loop: 66 min	
1.7.2015	20	Cap city loop: 72 min	
4.7.2015	28		
7.7.2015	42		
11.7.2015	35.2		
26.7.2015	20	Cap city loop: 69 min	
29.7.2015	20	Cap city loop: 67.5 min	
31.7.2015	3.5		
21.8.2015	20	Cap city loop: 70 min	
23.8.2015	36		
27.8.2015	20	Cap city loop: 70 min	
30.8.2015	20	Cap city loop: 67 min	
1.9.2015	20	Cap city loop: 68 min	
5.9.2015	28.75		
7.9.2015	31.3		
11.9.2015	20	Cap city loop: 75(?) min	
13.9.2015	28.3		
19.9.2015	49.3		
28.9.2015	20	Cap city loop: 67.5 min	
30.9.2015	20	Cap city loop: 80? min	
4.10.2015	20	Cap city loop: 68 min	
7.10.2015	30		
9.10.2015	20	Cap city loop: 66.5 min	
11.10.2015	8		
14.10.2015	16.8
16.10.2015	20	Cap city loop: 70 min	
18.10.2015	31.4		
22.10.2015	20	Cap city loop: 69 min	
25.10.2015	20	Cap city loop: 70 min	
1.11.2015	34		
3.11.2015	20	Cap city loop: 75 min	
15.11.2015	20	Cap city loop: 80 min	
14.4.2016	22		
17.4.2016	33		
23.4.2016	21		
25.4.2016	20		
2.5.2016	32.5		
4.5.2016	20		
6.5.2016	24		
11.5.2016	31	Broken spoke and popped  tube	6.75
21.5.2016	34		
23.5.2016	21.5		
27.5.2016	19		
29.5.2016	32		
