Date	Mileage	Maintenance/ Comment	Cost
26.3.2016	1.5	Bought bike	30
27.3.2016	3	Flat tire	5
31.3.2016	2		
1.4.2016	8		
4.4.2016	2		
5.4.2016	2		
6.4.2016	4		
7.4.2016	5		
8.4.2016	2		
11.4.2016	2		
12.4.2016	2		
13.4.2016	3		
14.4.2016	2		
15.4.2016	2		
17.4.2016	2		
18.4.2016	2		
19.4.2016	1		
20.4.2016	1		
21.4.2016	4		
22.4.2016	2		
25.4.2016	2		
26.4.2016	2		
27.4.2016	2		
28.4.2016	2		
29.4.2016	3		
2.5.2016	2		
3.5.2016	2		
4.5.2016	2		
5.5.2016	2		
6.5.2016	5		
11.5.2016	2		
12.5.2016	2		
